Feast, Rank, Weekday, Date
Dominica de Passione, sd1, Sunday, 2918-04-10 00:00:00
Feria II infra Hebd de Passione, sp, Monday, 2918-04-11 00:00:00
Feria III infra Hebd de Passione, sp, Tuesday, 2918-04-12 00:00:00
Feria IV infra Hebd de Passione, sp, Wednesday, 2918-04-13 00:00:00
Feria V infra Hebd de Passione, sp, Thursday, 2918-04-14 00:00:00
Septem Dolorum BMV, dm, Friday, 2918-04-15 00:00:00
Sabbato infra Hebd de Passione, sp, Saturday, 2918-04-16 00:00:00
Dominica in Palmis, sd1, Sunday, 2918-04-17 00:00:00
Feria II Majoris Hebd; Feria Priv, sp, Monday, 2918-04-18 00:00:00
Feria III Majoris Hebd; Feria Priv, sp, Tuesday, 2918-04-19 00:00:00
Feria IV Majoris Hebd; Feria Priv, sp, Wednesday, 2918-04-20 00:00:00
Feria V in Cœna Domini, d1, Thursday, 2918-04-21 00:00:00
Feria VI in Parasceve, d1, Friday, 2918-04-22 00:00:00
Sabbatum Sanctum, d1, Saturday, 2918-04-23 00:00:00
Dominica Resurrectionis, d1, Sunday, 2918-04-24 00:00:00
Feria II Paschatis, d1, Monday, 2918-04-25 00:00:00
Feria III Paschatis, d1, Tuesday, 2918-04-26 00:00:00
De die IV infra Oct Paschæ, sd, Wednesday, 2918-04-27 00:00:00
De die V infra Oct Paschæ, sd, Thursday, 2918-04-28 00:00:00
De die VI infra Oct Paschæ, sd, Friday, 2918-04-29 00:00:00
Sabbatum in Albis, sd, Saturday, 2918-04-30 00:00:00
Dominica in Albis, sd, Sunday, 2918-05-01 00:00:00
Solemnitas S Joseph, Sponsi BMV C et Ecclesiæ Universalis Patroni, d1, Wednesday, 2918-05-11 00:00:00
Octava Solemnitas S Joseph, dm, Wednesday, 2918-05-18 00:00:00
Dominica II post Pascha, sd, Sunday, 2918-05-08 00:00:00
Dominica III post Pascha, sd, Sunday, 2918-05-15 00:00:00
Dominica IV post Pascha, sd, Sunday, 2918-05-22 00:00:00
Litaniæ Minores, sp, Monday, 2918-05-30 00:00:00
Litaniæ Minores, sp, Tuesday, 2918-05-31 00:00:00
Litaniæ Minores, sp, Wednesday, 2918-06-01 00:00:00
Vigilæ Ascensionis, sp, Wednesday, 2918-06-01 00:00:00
Ascensio DNJC, d1, Thursday, 2918-06-02 00:00:00
Dominica V post Pascha, sd, Sunday, 2918-05-29 00:00:00
De II die infra Oct Ascensionis, sd, Saturday, 2918-06-04 00:00:00
De IV die infra Oct Ascensionis, sd, Monday, 2918-06-06 00:00:00
De V die infra Oct Ascensionis, sd, Tuesday, 2918-06-07 00:00:00
De VI die infra Oct Ascensionis, sd, Wednesday, 2918-06-08 00:00:00
Dominica infra Octavam Ascensionis, sd, Sunday, 2918-06-05 00:00:00
Vigilia Pentecostes, sd, Saturday, 2918-06-11 00:00:00
Dominica Pentecostes, d1, Sunday, 2918-06-12 00:00:00
De II die infra Oct Pentecostes, d1, Saturday, 2918-06-04 00:00:00
De III die infra Oct Pentecostes, d1, Sunday, 2918-06-05 00:00:00
De IV die infra Oct Pentecostes, d1, Monday, 2918-06-06 00:00:00
De V die infra Oct Pentecostes, d1, Tuesday, 2918-06-07 00:00:00
De VI die infra Oct Pentecostes, d1, Wednesday, 2918-06-08 00:00:00
Sabbato die infra Oct Pentecostes, d1, Thursday, 2918-06-09 00:00:00
Feria IV Quattuor infra Temporum Pentecostes, d1, Wednesday, 2918-06-15 00:00:00
Feria VI Quattuor infra Temporum Pentecostes, d1, Friday, 2918-06-17 00:00:00
Sabbato Quattuor infra Temporum Pentecostes, d1, Saturday, 2918-06-18 00:00:00
Dominica Sanctissimæ Trinitatis, d1, Sunday, 2918-06-19 00:00:00
De II die infra Oct Corporis Christi, sd, Friday, 2918-06-24 00:00:00
De III die infra Oct Corporis Christi, sd, Saturday, 2918-06-25 00:00:00
De V die infra Oct Corporis Christi, sd, Monday, 2918-06-27 00:00:00
De VI die infra Oct Corporis Christi, sd, Tuesday, 2918-06-28 00:00:00
De VII die infra Oct Corporis Christi, sd, Wednesday, 2918-06-29 00:00:00
Sanctissimi Corporis Christi, d1, Thursday, 2918-06-23 00:00:00
Octava SSmi Corporis Christi, dm, Thursday, 2918-06-30 00:00:00
Dominica II post Pentecosten infra Octavam Corporis Christi, sd, Sunday, 2918-06-26 00:00:00
De II die infra Oct Ss Cordis Jesu, sd, Saturday, 2918-07-02 00:00:00
De IV die infra Oct Ss Cordis Jesu, sd, Monday, 2918-07-04 00:00:00
De V die infra Oct Ss Cordis Jesu, sd, Tuesday, 2918-07-05 00:00:00
De VI die infra Oct Ss Cordis Jesu, sd, Wednesday, 2918-07-06 00:00:00
De VII die infra Oct Ss Cordis Jesu, sd, Thursday, 2918-07-07 00:00:00
Sacratissimi Cordis Jesu, d1, Friday, 2918-07-01 00:00:00
Sacratissimi Cordis Jesu, dm, Friday, 2918-07-08 00:00:00
Dominica III post Pentecosten infra Octavam SSmi Cordis DNJC, sd, Sunday, 2918-07-03 00:00:00
Dominica V post Pentecosten, sd, Sunday, 2918-07-10 00:00:00
Dominica VI post Pentecosten, sd, Sunday, 2918-07-17 00:00:00
Dominica VII post Pentecosten, sd, Sunday, 2918-07-24 00:00:00
Dominica VIII post Pentecosten, sd, Sunday, 2918-07-31 00:00:00
Dominica IX post Pentecosten, sd, Sunday, 2918-08-07 00:00:00
Dominica X post Pentecosten, sd, Sunday, 2918-08-14 00:00:00
Dominica XI post Pentecosten, sd, Sunday, 2918-08-21 00:00:00
Dominica XII post Pentecosten, sd, Sunday, 2918-08-28 00:00:00
Dominica XIII post Pentecosten, sd, Sunday, 2918-09-04 00:00:00
Dominica XIV post Pentecosten, sd, Sunday, 2918-09-11 00:00:00
Feria IV Quattuor Temporum Septembris, sd, Wednesday, 2918-09-14 00:00:00
Feria VI Quattuor Temporum Septembris, sd, Friday, 2918-09-16 00:00:00
Sabbato Quattuor Temporum Septembris, sd, Saturday, 2918-09-17 00:00:00
Dominica XV post Pentecosten, sd, Sunday, 2918-09-18 00:00:00
Dominica XVI post Pentecosten, sd, Sunday, 2918-09-25 00:00:00
Dominica XVII post Pentecosten, sd, Sunday, 2918-10-02 00:00:00
Dominica XVIII post Pentecosten, sd, Sunday, 2918-10-09 00:00:00
Dominica XIX post Pentecosten, sd, Sunday, 2918-10-16 00:00:00
Dominica XX post Pentecosten, sd, Sunday, 2918-10-23 00:00:00
Dominica XXI post Pentecosten, sd, Sunday, 2918-10-30 00:00:00
Dominica XXII post Pentecosten, sd, Sunday, 2918-11-06 00:00:00
Dominica XXIII post Pentecosten, sd, Sunday, 2918-11-13 00:00:00
Dominica XXIV post Pentecosten, sd, Sunday, 2918-11-20 00:00:00
Dominica XXV post Pentecosten, sd, Sunday, 2918-11-27 00:00:00
Dominica IV Adventus, sd2, Sunday, 2918-12-25 00:00:00
Dominica III Adventus, sd2, Sunday, 2918-12-18 00:00:00
Feria IV Quattuor Temporum in Adventu, sp, Wednesday, 2918-12-21 00:00:00
Feria VI Quattuor Temporum in Adventu, sp, Friday, 2918-12-23 00:00:00
Sabbato Quattuor Temporum in Adventu, sp, Saturday, 2918-12-24 00:00:00
Dominica II Adventus, sd2, Sunday, 2918-12-11 00:00:00
Dominica I Adventus, sd2, Sunday, 2918-12-04 00:00:00
Nativitas DNJC, d1, Sunday, 2918-12-25 00:00:00
Dominica Infra Octavam Nativitatis reposit, sd, Friday, 2918-12-30 00:00:00
S Stephani Protomartyris, d2, Monday, 2918-12-26 00:00:00
S Joannis Ap & Ev, d2, Tuesday, 2918-12-27 00:00:00
Ss Innocentium Mm, d2, Wednesday, 2918-12-28 00:00:00
S Thomas EM, d, Thursday, 2918-12-29 00:00:00
S Sylvestri I PC, d, Saturday, 2918-12-31 00:00:00
