Feast, Rank, Weekday, Date
Circumcisio Domini et Oct Nativitatis, d2, Saturday, 2918-01-01 00:00:00
Octava S Stephani Protomartyris, sp, Sunday, 2918-01-02 00:00:00
Octava S Joannis Ap & Ev, sp, Monday, 2918-01-03 00:00:00
Octava Ss Innocentium Mm, sp, Tuesday, 2918-01-04 00:00:00
SS Nominis Jesu, d2, Sunday, 2918-01-02 00:00:00
Dominica in Septuagesima, sd2, Sunday, 2918-02-20 00:00:00
Dominica in Sexagesima, sd2, Sunday, 2918-02-27 00:00:00
Dominica in Quinquagesima, sd2, Sunday, 2918-03-06 00:00:00
De die II infra Oct Epiphaniæ, sd, Friday, 2918-01-07 00:00:00
De die III infra Oct Epiphaniæ, sd, Saturday, 2918-01-08 00:00:00
De die V infra Oct Epiphaniæ, sd, Monday, 2918-01-10 00:00:00
De die VI infra Oct Epiphaniæ, sd, Tuesday, 2918-01-11 00:00:00
De die VII infra Oct Epiphaniæ, sd, Wednesday, 2918-01-12 00:00:00
S Familiæ Jesu Mariæ et Joseph; Dominica I post Epiphaniam, dm, Sunday, 2918-01-09 00:00:00
Dominica II post Epiphaniam, sp, Sunday, 2918-01-16 00:00:00
Dominica III post Epiphaniam, sp, Sunday, 2918-01-23 00:00:00
Dominica IV post Epiphaniam, sp, Sunday, 2918-01-30 00:00:00
Dominica V post Epiphaniam, sp, Sunday, 2918-02-06 00:00:00
Dominica VI post Epiphaniam, sp, Sunday, 2918-02-13 00:00:00
Dies Cinerum, sp, Wednesday, 2918-03-09 00:00:00
Feria V post Diem Cinerum, sp, Wednesday, 2918-03-09 00:00:00
Feria VI post Diem Cinerum, sp, Wednesday, 2918-03-09 00:00:00
Sabbato post Diem Cinerum, sp, Wednesday, 2918-03-09 00:00:00
Dominica I in Quadragesima, sd1, Sunday, 2918-03-13 00:00:00
Feria II infra Hebd I in Quadragesima, sp, Monday, 2918-03-14 00:00:00
Feria III infra Hebd I in Quadragesima, sp, Tuesday, 2918-03-15 00:00:00
Feria IV Quattuor Temporum Quadragesimæ, sp, Wednesday, 2918-03-16 00:00:00
Feria V infra Hebd I in Quadragesima, sp, Thursday, 2918-03-17 00:00:00
Feria VI Quattuor Temporum Quadragesimæ, sp, Friday, 2918-03-18 00:00:00
Sabbato Quattuor Temporum Quadragesimæ, sp, Saturday, 2918-03-19 00:00:00
Dominica II in Quadragesima, sd1, Sunday, 2918-03-20 00:00:00
Feria II infra Hebd II in Quadragesima, sp, Monday, 2918-03-21 00:00:00
Feria III infra Hebd II in Quadragesima, sp, Tuesday, 2918-03-22 00:00:00
Feria IV infra Hebd II in Quadragesima, sp, Wednesday, 2918-03-23 00:00:00
Feria V infra Hebd II in Quadragesima, sp, Thursday, 2918-03-24 00:00:00
Feria VI infra Hebd II in Quadragesima, sp, Friday, 2918-03-25 00:00:00
Sabbato infra Hebd II in Quadragesima, sp, Saturday, 2918-03-26 00:00:00
Dominica III in Quadragesima, sd1, Sunday, 2918-03-27 00:00:00
Feria II infra Hebd III in Quadragesima, sp, Monday, 2918-03-28 00:00:00
Feria III infra Hebd III in Quadragesima, sp, Tuesday, 2918-03-29 00:00:00
Feria IV infra Hebd III in Quadragesima, sp, Wednesday, 2918-03-30 00:00:00
Feria V infra Hebd III in Quadragesima, sp, Thursday, 2918-03-31 00:00:00
Feria VI infra Hebd III in Quadragesima, sp, Friday, 2918-04-01 00:00:00
Sabbato infra Hebd III in Quadragesima, sp, Saturday, 2918-04-02 00:00:00
Dominica IV in Quadragesima, sd1, Sunday, 2918-04-03 00:00:00
Feria II infra Hebd IV in Quadragesima, sp, Monday, 2918-04-04 00:00:00
Feria III infra Hebd IV in Quadragesima, sp, Tuesday, 2918-04-05 00:00:00
Feria IV infra Hebd IV in Quadragesima, sp, Wednesday, 2918-04-06 00:00:00
Feria V infra Hebd IV in Quadragesima, sp, Thursday, 2918-04-07 00:00:00
Feria VI infra Hebd IV in Quadragesima, sp, Friday, 2918-04-08 00:00:00
Sabbato infra Hebd IV in Quadragesima, sp, Saturday, 2918-04-09 00:00:00
