Feast, Rank, Weekday, Date
Dominica XXII post Pentecosten, sd, Sunday, 3479-10-12 00:00:00
Dominica XXIII post Pentecosten, sd, Sunday, 3479-10-19 00:00:00
Dominica XXIV post Pentecosten, sd, Sunday, 3479-10-26 00:00:00
Dominica XXV post Pentecosten, sd, Sunday, 3479-11-02 00:00:00
Dominica XXVI post Pentecosten, sd, Sunday, 3479-11-09 00:00:00
Dominica XXVII post Pentecosten, sd, Sunday, 3479-11-16 00:00:00
Dominica IV Adventus, sd2, Sunday, 3479-12-21 00:00:00
Dominica III Adventus, sd2, Sunday, 3479-12-14 00:00:00
Feria IV Quattuor Temporum in Adventu, sp, Wednesday, 3479-12-17 00:00:00
Feria VI Quattuor Temporum in Adventu, sp, Friday, 3479-12-19 00:00:00
Sabbato Quattuor Temporum in Adventu, sp, Saturday, 3479-12-20 00:00:00
Dominica II Adventus, sd2, Sunday, 3479-12-07 00:00:00
Dominica I Adventus, sd2, Sunday, 3479-11-30 00:00:00
Nativitas DNJC, d1, Thursday, 3479-12-25 00:00:00
Dominica Infra Octavam Nativitatis, sd, Sunday, 3479-12-28 00:00:00
S Stephani Protomartyris, d2, Friday, 3479-12-26 00:00:00
S Joannis Ap & Ev, d2, Saturday, 3479-12-27 00:00:00
Ss Innocentium Mm, d2, Sunday, 3479-12-28 00:00:00
S Thomas EM, d, Monday, 3479-12-29 00:00:00
S Sylvestri I PC, d, Wednesday, 3479-12-31 00:00:00
