Feast, Rank, Weekday, Date
Circumcisio Domini et Oct Nativitatis, d2, Monday, 3629-01-01 00:00:00
Octava S Stephani Protomartyris, sp, Tuesday, 3629-01-02 00:00:00
Octava S Joannis Ap & Ev, sp, Wednesday, 3629-01-03 00:00:00
Octava Ss Innocentium Mm, sp, Thursday, 3629-01-04 00:00:00
SS Nominis Jesu, d2, Tuesday, 3629-01-02 00:00:00
Dominica in Septuagesima, sd2, Sunday, 3629-01-21 00:00:00
Dominica in Sexagesima, sd2, Sunday, 3629-01-28 00:00:00
Dominica in Quinquagesima, sd2, Sunday, 3629-02-04 00:00:00
De die III infra Oct Epiphaniæ, sd, Monday, 3629-01-08 00:00:00
De die IV infra Oct Epiphaniæ, sd, Tuesday, 3629-01-09 00:00:00
De die V infra Oct Epiphaniæ, sd, Wednesday, 3629-01-10 00:00:00
De die VI infra Oct Epiphaniæ, sd, Thursday, 3629-01-11 00:00:00
De die VII infra Oct Epiphaniæ, sd, Friday, 3629-01-12 00:00:00
S Familiæ Jesu Mariæ et Joseph; Dominica I post Epiphaniam, dm, Sunday, 3629-01-07 00:00:00
Dominica II post Epiphaniam, sp, Sunday, 3629-01-14 00:00:00
Dies Cinerum, sp, Wednesday, 3629-02-07 00:00:00
Feria V post Diem Cinerum, sp, Wednesday, 3629-02-07 00:00:00
Feria VI post Diem Cinerum, sp, Wednesday, 3629-02-07 00:00:00
Sabbato post Diem Cinerum, sp, Wednesday, 3629-02-07 00:00:00
Dominica I in Quadragesima, sd1, Sunday, 3629-02-11 00:00:00
Feria II infra Hebd I in Quadragesima, sp, Monday, 3629-02-12 00:00:00
Feria III infra Hebd I in Quadragesima, sp, Tuesday, 3629-02-13 00:00:00
Feria IV Quattuor Temporum Quadragesimæ, sp, Wednesday, 3629-02-14 00:00:00
Feria V infra Hebd I in Quadragesima, sp, Thursday, 3629-02-15 00:00:00
Feria VI Quattuor Temporum Quadragesimæ, sp, Friday, 3629-02-16 00:00:00
Sabbato Quattuor Temporum Quadragesimæ, sp, Saturday, 3629-02-17 00:00:00
Dominica II in Quadragesima, sd1, Sunday, 3629-02-18 00:00:00
Feria II infra Hebd II in Quadragesima, sp, Monday, 3629-02-19 00:00:00
Feria III infra Hebd II in Quadragesima, sp, Tuesday, 3629-02-20 00:00:00
Feria IV infra Hebd II in Quadragesima, sp, Wednesday, 3629-02-21 00:00:00
Feria V infra Hebd II in Quadragesima, sp, Thursday, 3629-02-22 00:00:00
Feria VI infra Hebd II in Quadragesima, sp, Friday, 3629-02-23 00:00:00
Sabbato infra Hebd II in Quadragesima, sp, Saturday, 3629-02-24 00:00:00
Dominica III in Quadragesima, sd1, Sunday, 3629-02-25 00:00:00
Feria II infra Hebd III in Quadragesima, sp, Monday, 3629-02-26 00:00:00
Feria III infra Hebd III in Quadragesima, sp, Tuesday, 3629-02-27 00:00:00
Feria IV infra Hebd III in Quadragesima, sp, Wednesday, 3629-02-28 00:00:00
Feria V infra Hebd III in Quadragesima, sp, Thursday, 3629-03-01 00:00:00
Feria VI infra Hebd III in Quadragesima, sp, Friday, 3629-03-02 00:00:00
Sabbato infra Hebd III in Quadragesima, sp, Saturday, 3629-03-03 00:00:00
Dominica IV in Quadragesima, sd1, Sunday, 3629-03-04 00:00:00
Feria II infra Hebd IV in Quadragesima, sp, Monday, 3629-03-05 00:00:00
Feria III infra Hebd IV in Quadragesima, sp, Tuesday, 3629-03-06 00:00:00
Feria IV infra Hebd IV in Quadragesima, sp, Wednesday, 3629-03-07 00:00:00
Feria V infra Hebd IV in Quadragesima, sp, Thursday, 3629-03-08 00:00:00
Feria VI infra Hebd IV in Quadragesima, sp, Friday, 3629-03-09 00:00:00
Sabbato infra Hebd IV in Quadragesima, sp, Saturday, 3629-03-10 00:00:00
Dominica de Passione, sd1, Sunday, 3629-03-11 00:00:00
Feria II infra Hebd de Passione, sp, Monday, 3629-03-12 00:00:00
Feria III infra Hebd de Passione, sp, Tuesday, 3629-03-13 00:00:00
Feria IV infra Hebd de Passione, sp, Wednesday, 3629-03-14 00:00:00
Feria V infra Hebd de Passione, sp, Thursday, 3629-03-15 00:00:00
Septem Dolorum BMV, dm, Friday, 3629-03-16 00:00:00
Sabbato infra Hebd de Passione, sp, Saturday, 3629-03-17 00:00:00
Dominica in Palmis, sd1, Sunday, 3629-03-18 00:00:00
Feria II Majoris Hebd; Feria Priv, sp, Monday, 3629-03-19 00:00:00
Feria III Majoris Hebd; Feria Priv, sp, Tuesday, 3629-03-20 00:00:00
Feria IV Majoris Hebd; Feria Priv, sp, Wednesday, 3629-03-21 00:00:00
Feria V in Cœna Domini, d1, Thursday, 3629-03-22 00:00:00
Feria VI in Parasceve, d1, Friday, 3629-03-23 00:00:00
Sabbatum Sanctum, d1, Saturday, 3629-03-24 00:00:00
Dominica Resurrectionis, d1, Sunday, 3629-03-25 00:00:00
Feria II Paschatis, d1, Monday, 3629-03-26 00:00:00
Feria III Paschatis, d1, Tuesday, 3629-03-27 00:00:00
De die IV infra Oct Paschæ, sd, Wednesday, 3629-03-28 00:00:00
De die V infra Oct Paschæ, sd, Thursday, 3629-03-29 00:00:00
De die VI infra Oct Paschæ, sd, Friday, 3629-03-30 00:00:00
Sabbatum in Albis, sd, Saturday, 3629-03-31 00:00:00
Dominica in Albis, sd, Sunday, 3629-04-01 00:00:00
Solemnitas S Joseph, Sponsi BMV C et Ecclesiæ Universalis Patroni, d1, Wednesday, 3629-04-11 00:00:00
Octava Solemnitas S Joseph, dm, Wednesday, 3629-04-18 00:00:00
Dominica II post Pascha, sd, Sunday, 3629-04-08 00:00:00
Dominica III post Pascha, sd, Sunday, 3629-04-15 00:00:00
Dominica IV post Pascha, sd, Sunday, 3629-04-22 00:00:00
Litaniæ Minores, sp, Monday, 3629-04-30 00:00:00
Litaniæ Minores, sp, Tuesday, 3629-05-01 00:00:00
Litaniæ Minores, sp, Wednesday, 3629-05-02 00:00:00
Vigilæ Ascensionis, sp, Wednesday, 3629-05-02 00:00:00
Ascensio DNJC, d1, Thursday, 3629-05-03 00:00:00
Dominica V post Pascha, sd, Sunday, 3629-04-29 00:00:00
De II die infra Oct Ascensionis, sd, Saturday, 3629-05-05 00:00:00
De IV die infra Oct Ascensionis, sd, Monday, 3629-05-07 00:00:00
De V die infra Oct Ascensionis, sd, Tuesday, 3629-05-08 00:00:00
De VI die infra Oct Ascensionis, sd, Wednesday, 3629-05-09 00:00:00
Dominica infra Octavam Ascensionis, sd, Sunday, 3629-05-06 00:00:00
Vigilia Pentecostes, sd, Saturday, 3629-05-12 00:00:00
Dominica Pentecostes, d1, Sunday, 3629-05-13 00:00:00
De II die infra Oct Pentecostes, d1, Saturday, 3629-05-05 00:00:00
De III die infra Oct Pentecostes, d1, Sunday, 3629-05-06 00:00:00
De IV die infra Oct Pentecostes, d1, Monday, 3629-05-07 00:00:00
De V die infra Oct Pentecostes, d1, Tuesday, 3629-05-08 00:00:00
De VI die infra Oct Pentecostes, d1, Wednesday, 3629-05-09 00:00:00
Sabbato die infra Oct Pentecostes, d1, Thursday, 3629-05-10 00:00:00
Feria IV Quattuor infra Temporum Pentecostes, d1, Wednesday, 3629-05-16 00:00:00
Feria VI Quattuor infra Temporum Pentecostes, d1, Friday, 3629-05-18 00:00:00
Sabbato Quattuor infra Temporum Pentecostes, d1, Saturday, 3629-05-19 00:00:00
Dominica Sanctissimæ Trinitatis, d1, Sunday, 3629-05-20 00:00:00
De II die infra Oct Corporis Christi, sd, Friday, 3629-05-25 00:00:00
De III die infra Oct Corporis Christi, sd, Saturday, 3629-05-26 00:00:00
De V die infra Oct Corporis Christi, sd, Monday, 3629-05-28 00:00:00
De VI die infra Oct Corporis Christi, sd, Tuesday, 3629-05-29 00:00:00
De VII die infra Oct Corporis Christi, sd, Wednesday, 3629-05-30 00:00:00
Sanctissimi Corporis Christi, d1, Thursday, 3629-05-24 00:00:00
Octava SSmi Corporis Christi, dm, Thursday, 3629-05-31 00:00:00
Dominica II post Pentecosten infra Octavam Corporis Christi, sd, Sunday, 3629-05-27 00:00:00
De II die infra Oct Ss Cordis Jesu, sd, Saturday, 3629-06-02 00:00:00
De IV die infra Oct Ss Cordis Jesu, sd, Monday, 3629-06-04 00:00:00
