Feast, Rank, Weekday, Date
De V die infra Oct Ss Cordis Jesu, sd, Tuesday, 3629-06-05 00:00:00
De VI die infra Oct Ss Cordis Jesu, sd, Wednesday, 3629-06-06 00:00:00
De VII die infra Oct Ss Cordis Jesu, sd, Thursday, 3629-06-07 00:00:00
Sacratissimi Cordis Jesu, d1, Friday, 3629-06-01 00:00:00
Sacratissimi Cordis Jesu, dm, Friday, 3629-06-08 00:00:00
Dominica III post Pentecosten infra Octavam SSmi Cordis DNJC, sd, Sunday, 3629-06-03 00:00:00
Dominica V post Pentecosten, sd, Sunday, 3629-06-10 00:00:00
Dominica VI post Pentecosten, sd, Sunday, 3629-06-17 00:00:00
Dominica VII post Pentecosten, sd, Sunday, 3629-06-24 00:00:00
Dominica VIII post Pentecosten, sd, Sunday, 3629-07-01 00:00:00
Dominica IX post Pentecosten, sd, Sunday, 3629-07-08 00:00:00
Dominica X post Pentecosten, sd, Sunday, 3629-07-15 00:00:00
Dominica XI post Pentecosten, sd, Sunday, 3629-07-22 00:00:00
Dominica XII post Pentecosten, sd, Sunday, 3629-07-29 00:00:00
Dominica XIII post Pentecosten, sd, Sunday, 3629-08-05 00:00:00
Dominica XIV post Pentecosten, sd, Sunday, 3629-08-12 00:00:00
Dominica XV post Pentecosten, sd, Sunday, 3629-08-19 00:00:00
Dominica XVI post Pentecosten, sd, Sunday, 3629-08-26 00:00:00
Dominica XVII post Pentecosten, sd, Sunday, 3629-09-02 00:00:00
Dominica XVIII post Pentecosten, sd, Sunday, 3629-09-09 00:00:00
Dominica XIX post Pentecosten, sd, Sunday, 3629-09-16 00:00:00
Feria IV Quattuor Temporum Septembris, sd, Wednesday, 3629-09-19 00:00:00
Feria VI Quattuor Temporum Septembris, sd, Friday, 3629-09-21 00:00:00
Sabbato Quattuor Temporum Septembris, sd, Saturday, 3629-09-22 00:00:00
Dominica XX post Pentecosten, sd, Sunday, 3629-09-23 00:00:00
Dominica XXI post Pentecosten, sd, Sunday, 3629-09-30 00:00:00
Dominica XXII post Pentecosten, sd, Sunday, 3629-10-07 00:00:00
Dominica XXIII post Pentecosten, sd, Sunday, 3629-10-14 00:00:00
Dominica XXIV post Pentecosten, sd, Sunday, 3629-10-21 00:00:00
Dominica XXV post Pentecosten, sd, Sunday, 3629-10-28 00:00:00
Dominica XXVI post Pentecosten, sd, Sunday, 3629-11-04 00:00:00
Dominica XXVII post Pentecosten, sd, Sunday, 3629-11-11 00:00:00
Dominica IV Adventus, sd2, Sunday, 3629-12-23 00:00:00
Dominica III Adventus, sd2, Sunday, 3629-12-16 00:00:00
Feria IV Quattuor Temporum in Adventu, sp, Wednesday, 3629-12-19 00:00:00
Feria VI Quattuor Temporum in Adventu, sp, Friday, 3629-12-21 00:00:00
Sabbato Quattuor Temporum in Adventu, sp, Saturday, 3629-12-22 00:00:00
Dominica II Adventus, sd2, Sunday, 3629-12-09 00:00:00
Dominica I Adventus, sd2, Sunday, 3629-12-02 00:00:00
Nativitas DNJC, d1, Tuesday, 3629-12-25 00:00:00
Dominica Infra Octavam Nativitatis, sd, Sunday, 3629-12-30 00:00:00
De VI Die infra Octavam Nativitatis, sd, Sunday, 3629-12-30 00:00:00
S Stephani Protomartyris, d2, Wednesday, 3629-12-26 00:00:00
S Joannis Ap & Ev, d2, Thursday, 3629-12-27 00:00:00
Ss Innocentium Mm, d2, Friday, 3629-12-28 00:00:00
S Thomas EM, d, Saturday, 3629-12-29 00:00:00
S Sylvestri I PC, d, Monday, 3629-12-31 00:00:00
