Feast, Rank, Weekday, Date
Circumcisio Domini et Oct Nativitatis, d2, Saturday, 2180-01-01 00:00:00
Octava S Stephani Protomartyris, sp, Sunday, 2180-01-02 00:00:00
Octava S Joannis Ap & Ev, sp, Monday, 2180-01-03 00:00:00
Octava Ss Innocentium Mm, sp, Tuesday, 2180-01-04 00:00:00
SS Nominis Jesu, d2, Sunday, 2180-01-02 00:00:00
Dominica in Septuagesima, sd2, Sunday, 2180-02-13 00:00:00
Dominica in Sexagesima, sd2, Sunday, 2180-02-20 00:00:00
Dominica in Quinquagesima, sd2, Sunday, 2180-02-27 00:00:00
De die II infra Oct Epiphaniæ, sd, Friday, 2180-01-07 00:00:00
De die III infra Oct Epiphaniæ, sd, Saturday, 2180-01-08 00:00:00
De die V infra Oct Epiphaniæ, sd, Monday, 2180-01-10 00:00:00
De die VI infra Oct Epiphaniæ, sd, Tuesday, 2180-01-11 00:00:00
De die VII infra Oct Epiphaniæ, sd, Wednesday, 2180-01-12 00:00:00
S Familiæ Jesu Mariæ et Joseph; Dominica I post Epiphaniam, dm, Sunday, 2180-01-09 00:00:00
Dominica II post Epiphaniam, sp, Sunday, 2180-01-16 00:00:00
Dominica III post Epiphaniam, sp, Sunday, 2180-01-23 00:00:00
Dominica IV post Epiphaniam, sp, Sunday, 2180-01-30 00:00:00
Dominica V post Epiphaniam, sp, Sunday, 2180-02-06 00:00:00
Dies Cinerum, sp, Wednesday, 2180-03-01 00:00:00
Feria V post Diem Cinerum, sp, Wednesday, 2180-03-01 00:00:00
Feria VI post Diem Cinerum, sp, Wednesday, 2180-03-01 00:00:00
Sabbato post Diem Cinerum, sp, Wednesday, 2180-03-01 00:00:00
Dominica I in Quadragesima, sd1, Sunday, 2180-03-05 00:00:00
Feria II infra Hebd I in Quadragesima, sp, Monday, 2180-03-06 00:00:00
Feria III infra Hebd I in Quadragesima, sp, Tuesday, 2180-03-07 00:00:00
Feria IV Quattuor Temporum Quadragesimæ, sp, Wednesday, 2180-03-08 00:00:00
Feria V infra Hebd I in Quadragesima, sp, Thursday, 2180-03-09 00:00:00
Feria VI Quattuor Temporum Quadragesimæ, sp, Friday, 2180-03-10 00:00:00
Sabbato Quattuor Temporum Quadragesimæ, sp, Saturday, 2180-03-11 00:00:00
Dominica II in Quadragesima, sd1, Sunday, 2180-03-12 00:00:00
Feria II infra Hebd II in Quadragesima, sp, Monday, 2180-03-13 00:00:00
Feria III infra Hebd II in Quadragesima, sp, Tuesday, 2180-03-14 00:00:00
Feria IV infra Hebd II in Quadragesima, sp, Wednesday, 2180-03-15 00:00:00
Feria V infra Hebd II in Quadragesima, sp, Thursday, 2180-03-16 00:00:00
Feria VI infra Hebd II in Quadragesima, sp, Friday, 2180-03-17 00:00:00
Sabbato infra Hebd II in Quadragesima, sp, Saturday, 2180-03-18 00:00:00
Dominica III in Quadragesima, sd1, Sunday, 2180-03-19 00:00:00
Feria II infra Hebd III in Quadragesima, sp, Monday, 2180-03-20 00:00:00
Feria III infra Hebd III in Quadragesima, sp, Tuesday, 2180-03-21 00:00:00
Feria IV infra Hebd III in Quadragesima, sp, Wednesday, 2180-03-22 00:00:00
Feria V infra Hebd III in Quadragesima, sp, Thursday, 2180-03-23 00:00:00
Feria VI infra Hebd III in Quadragesima, sp, Friday, 2180-03-24 00:00:00
Sabbato infra Hebd III in Quadragesima, sp, Saturday, 2180-03-25 00:00:00
Dominica IV in Quadragesima, sd1, Sunday, 2180-03-26 00:00:00
Feria II infra Hebd IV in Quadragesima, sp, Monday, 2180-03-27 00:00:00
Feria III infra Hebd IV in Quadragesima, sp, Tuesday, 2180-03-28 00:00:00
Feria IV infra Hebd IV in Quadragesima, sp, Wednesday, 2180-03-29 00:00:00
Feria V infra Hebd IV in Quadragesima, sp, Thursday, 2180-03-30 00:00:00
Feria VI infra Hebd IV in Quadragesima, sp, Friday, 2180-03-31 00:00:00
Sabbato infra Hebd IV in Quadragesima, sp, Saturday, 2180-04-01 00:00:00
Dominica de Passione, sd1, Sunday, 2180-04-02 00:00:00
Feria II infra Hebd de Passione, sp, Monday, 2180-04-03 00:00:00
Feria III infra Hebd de Passione, sp, Tuesday, 2180-04-04 00:00:00
Feria IV infra Hebd de Passione, sp, Wednesday, 2180-04-05 00:00:00
Feria V infra Hebd de Passione, sp, Thursday, 2180-04-06 00:00:00
Septem Dolorum BMV, dm, Friday, 2180-04-07 00:00:00
Sabbato infra Hebd de Passione, sp, Saturday, 2180-04-08 00:00:00
Dominica in Palmis, sd1, Sunday, 2180-04-09 00:00:00
Feria II Majoris Hebd; Feria Priv, sp, Monday, 2180-04-10 00:00:00
Feria III Majoris Hebd; Feria Priv, sp, Tuesday, 2180-04-11 00:00:00
Feria IV Majoris Hebd; Feria Priv, sp, Wednesday, 2180-04-12 00:00:00
Feria V in Cœna Domini, d1, Thursday, 2180-04-13 00:00:00
Feria VI in Parasceve, d1, Friday, 2180-04-14 00:00:00
Sabbatum Sanctum, d1, Saturday, 2180-04-15 00:00:00
Dominica Resurrectionis, d1, Sunday, 2180-04-16 00:00:00
Feria II Paschatis, d1, Monday, 2180-04-17 00:00:00
Feria III Paschatis, d1, Tuesday, 2180-04-18 00:00:00
De die IV infra Oct Paschæ, sd, Wednesday, 2180-04-19 00:00:00
De die V infra Oct Paschæ, sd, Thursday, 2180-04-20 00:00:00
De die VI infra Oct Paschæ, sd, Friday, 2180-04-21 00:00:00
Sabbatum in Albis, sd, Saturday, 2180-04-22 00:00:00
Dominica in Albis, sd, Sunday, 2180-04-23 00:00:00
Solemnitas S Joseph, Sponsi BMV C et Ecclesiæ Universalis Patroni, d1, Wednesday, 2180-05-03 00:00:00
Octava Solemnitas S Joseph, dm, Wednesday, 2180-05-10 00:00:00
Dominica II post Pascha, sd, Sunday, 2180-04-30 00:00:00
Dominica III post Pascha, sd, Sunday, 2180-05-07 00:00:00
Dominica IV post Pascha, sd, Sunday, 2180-05-14 00:00:00
Litaniæ Minores, sp, Monday, 2180-05-22 00:00:00
Litaniæ Minores, sp, Tuesday, 2180-05-23 00:00:00
Litaniæ Minores, sp, Wednesday, 2180-05-24 00:00:00
Vigilæ Ascensionis, sp, Wednesday, 2180-05-24 00:00:00
Ascensio DNJC, d1, Thursday, 2180-05-25 00:00:00
Dominica V post Pascha, sd, Sunday, 2180-05-21 00:00:00
De II die infra Oct Ascensionis, sd, Saturday, 2180-05-27 00:00:00
De IV die infra Oct Ascensionis, sd, Monday, 2180-05-29 00:00:00
De V die infra Oct Ascensionis, sd, Tuesday, 2180-05-30 00:00:00
De VI die infra Oct Ascensionis, sd, Wednesday, 2180-05-31 00:00:00
Dominica infra Octavam Ascensionis, sd, Sunday, 2180-05-28 00:00:00
Vigilia Pentecostes, sd, Saturday, 2180-06-03 00:00:00
Dominica Pentecostes, d1, Sunday, 2180-06-04 00:00:00
De II die infra Oct Pentecostes, d1, Saturday, 2180-05-27 00:00:00
De III die infra Oct Pentecostes, d1, Sunday, 2180-05-28 00:00:00
De IV die infra Oct Pentecostes, d1, Monday, 2180-05-29 00:00:00
De V die infra Oct Pentecostes, d1, Tuesday, 2180-05-30 00:00:00
De VI die infra Oct Pentecostes, d1, Wednesday, 2180-05-31 00:00:00
Sabbato die infra Oct Pentecostes, d1, Thursday, 2180-06-01 00:00:00
Feria IV Quattuor infra Temporum Pentecostes, d1, Wednesday, 2180-06-07 00:00:00
Feria VI Quattuor infra Temporum Pentecostes, d1, Friday, 2180-06-09 00:00:00
Sabbato Quattuor infra Temporum Pentecostes, d1, Saturday, 2180-06-10 00:00:00
Dominica Sanctissimæ Trinitatis, d1, Sunday, 2180-06-11 00:00:00
De II die infra Oct Corporis Christi, sd, Friday, 2180-06-16 00:00:00
De III die infra Oct Corporis Christi, sd, Saturday, 2180-06-17 00:00:00
De V die infra Oct Corporis Christi, sd, Monday, 2180-06-19 00:00:00
De VI die infra Oct Corporis Christi, sd, Tuesday, 2180-06-20 00:00:00
De VII die infra Oct Corporis Christi, sd, Wednesday, 2180-06-21 00:00:00
Sanctissimi Corporis Christi, d1, Thursday, 2180-06-15 00:00:00
Octava SSmi Corporis Christi, dm, Thursday, 2180-06-22 00:00:00
Dominica II post Pentecosten infra Octavam Corporis Christi, sd, Sunday, 2180-06-18 00:00:00
De II die infra Oct Ss Cordis Jesu, sd, Saturday, 2180-06-24 00:00:00
De IV die infra Oct Ss Cordis Jesu, sd, Monday, 2180-06-26 00:00:00
De V die infra Oct Ss Cordis Jesu, sd, Tuesday, 2180-06-27 00:00:00
De VI die infra Oct Ss Cordis Jesu, sd, Wednesday, 2180-06-28 00:00:00
De VII die infra Oct Ss Cordis Jesu, sd, Thursday, 2180-06-29 00:00:00
Sacratissimi Cordis Jesu, d1, Friday, 2180-06-23 00:00:00
Sacratissimi Cordis Jesu, dm, Friday, 2180-06-30 00:00:00
Dominica III post Pentecosten infra Octavam SSmi Cordis DNJC, sd, Sunday, 2180-06-25 00:00:00
Dominica V post Pentecosten, sd, Sunday, 2180-07-02 00:00:00
Dominica VI post Pentecosten, sd, Sunday, 2180-07-09 00:00:00
Dominica VII post Pentecosten, sd, Sunday, 2180-07-16 00:00:00
Dominica VIII post Pentecosten, sd, Sunday, 2180-07-23 00:00:00
Dominica IX post Pentecosten, sd, Sunday, 2180-07-30 00:00:00
Dominica X post Pentecosten, sd, Sunday, 2180-08-06 00:00:00
Dominica XI post Pentecosten, sd, Sunday, 2180-08-13 00:00:00
Dominica XII post Pentecosten, sd, Sunday, 2180-08-20 00:00:00
Dominica XIII post Pentecosten, sd, Sunday, 2180-08-27 00:00:00
Dominica XIV post Pentecosten, sd, Sunday, 2180-09-03 00:00:00
Dominica XV post Pentecosten, sd, Sunday, 2180-09-10 00:00:00
Dominica XVI post Pentecosten, sd, Sunday, 2180-09-17 00:00:00
Feria IV Quattuor Temporum Septembris, sd, Wednesday, 2180-09-20 00:00:00
Feria VI Quattuor Temporum Septembris, sd, Friday, 2180-09-22 00:00:00
Sabbato Quattuor Temporum Septembris, sd, Saturday, 2180-09-23 00:00:00
Dominica XVII post Pentecosten, sd, Sunday, 2180-09-24 00:00:00
Dominica XVIII post Pentecosten, sd, Sunday, 2180-10-01 00:00:00
Dominica XIX post Pentecosten, sd, Sunday, 2180-10-08 00:00:00
Dominica XX post Pentecosten, sd, Sunday, 2180-10-15 00:00:00
Dominica XXI post Pentecosten, sd, Sunday, 2180-10-22 00:00:00
Dominica XXII post Pentecosten, sd, Sunday, 2180-10-29 00:00:00
Dominica XXIII post Pentecosten, sd, Sunday, 2180-11-05 00:00:00
Dominica XXIV post Pentecosten, sd, Sunday, 2180-11-12 00:00:00
Dominica XXV post Pentecosten, sd, Sunday, 2180-11-19 00:00:00
Dominica XXVI post Pentecosten, sd, Sunday, 2180-11-26 00:00:00
Dominica IV Adventus, sd2, Sunday, 2180-12-24 00:00:00
Dominica III Adventus, sd2, Sunday, 2180-12-17 00:00:00
Feria IV Quattuor Temporum in Adventu, sp, Wednesday, 2180-12-20 00:00:00
Feria VI Quattuor Temporum in Adventu, sp, Friday, 2180-12-22 00:00:00
Sabbato Quattuor Temporum in Adventu, sp, Saturday, 2180-12-23 00:00:00
Dominica II Adventus, sd2, Sunday, 2180-12-10 00:00:00
Dominica I Adventus, sd2, Sunday, 2180-12-03 00:00:00
Nativitas DNJC, d1, Monday, 2180-12-25 00:00:00
Dominica Infra Octavam Nativitatis, sd, Sunday, 2180-12-31 00:00:00
S Stephani Protomartyris, d2, Tuesday, 2180-12-26 00:00:00
S Joannis Ap & Ev, d2, Wednesday, 2180-12-27 00:00:00
Ss Innocentium Mm, d2, Thursday, 2180-12-28 00:00:00
S Thomas EM, d, Friday, 2180-12-29 00:00:00
S Sylvestri I PC, d, Sunday, 2180-12-31 00:00:00
