Feast, Rank, Weekday, Date
Dominica VIII post Pentecosten, sd, Sunday, 1710-07-27 00:00:00
Dominica IX post Pentecosten, sd, Sunday, 1710-08-03 00:00:00
Dominica X post Pentecosten, sd, Sunday, 1710-08-10 00:00:00
Dominica XI post Pentecosten, sd, Sunday, 1710-08-17 00:00:00
Dominica XII post Pentecosten, sd, Sunday, 1710-08-24 00:00:00
Dominica XIII post Pentecosten, sd, Sunday, 1710-08-31 00:00:00
Dominica XIV post Pentecosten, sd, Sunday, 1710-09-07 00:00:00
Dominica XV post Pentecosten, sd, Sunday, 1710-09-14 00:00:00
Feria IV Quattuor Temporum Septembris, sd, Wednesday, 1710-09-17 00:00:00
Feria VI Quattuor Temporum Septembris, sd, Friday, 1710-09-19 00:00:00
Sabbato Quattuor Temporum Septembris, sd, Saturday, 1710-09-20 00:00:00
Dominica XVI post Pentecosten, sd, Sunday, 1710-09-21 00:00:00
Dominica XVII post Pentecosten, sd, Sunday, 1710-09-28 00:00:00
Dominica XVIII post Pentecosten, sd, Sunday, 1710-10-05 00:00:00
Dominica XIX post Pentecosten, sd, Sunday, 1710-10-12 00:00:00
Dominica XX post Pentecosten, sd, Sunday, 1710-10-19 00:00:00
Dominica XXI post Pentecosten, sd, Sunday, 1710-10-26 00:00:00
Dominica XXII post Pentecosten, sd, Sunday, 1710-11-02 00:00:00
Dominica XXIII post Pentecosten, sd, Sunday, 1710-11-09 00:00:00
Dominica XXIV post Pentecosten, sd, Sunday, 1710-11-16 00:00:00
Dominica XXV post Pentecosten, sd, Sunday, 1710-11-23 00:00:00
Dominica XXVI post Pentecosten, sd, Sunday, 1710-11-30 00:00:00
Dominica IV Adventus, sd2, Sunday, 1710-12-21 00:00:00
Dominica III Adventus, sd2, Sunday, 1710-12-14 00:00:00
Feria IV Quattuor Temporum in Adventu, sp, Wednesday, 1710-12-17 00:00:00
Feria VI Quattuor Temporum in Adventu, sp, Friday, 1710-12-19 00:00:00
Sabbato Quattuor Temporum in Adventu, sp, Saturday, 1710-12-20 00:00:00
Dominica II Adventus, sd2, Sunday, 1710-12-07 00:00:00
Dominica I Adventus, sd2, Sunday, 1710-11-30 00:00:00
Nativitas DNJC, d1, Thursday, 1710-12-25 00:00:00
Dominica Infra Octavam Nativitatis, sd, Sunday, 1710-12-28 00:00:00
S Stephani Protomartyris, d2, Friday, 1710-12-26 00:00:00
S Joannis Ap & Ev, d2, Saturday, 1710-12-27 00:00:00
Ss Innocentium Mm, d2, Sunday, 1710-12-28 00:00:00
S Thomas EM, d, Monday, 1710-12-29 00:00:00
S Sylvestri I PC, d, Wednesday, 1710-12-31 00:00:00
