Feast, Rank, Weekday, Date
Circumcisio Domini et Oct Nativitatis, d2, Wednesday, 1710-01-01 00:00:00
Octava S Stephani Protomartyris, sp, Thursday, 1710-01-02 00:00:00
Octava S Joannis Ap & Ev, sp, Friday, 1710-01-03 00:00:00
Octava Ss Innocentium Mm, sp, Saturday, 1710-01-04 00:00:00
SS Nominis Jesu, d2, Sunday, 1710-01-05 00:00:00
Dominica in Septuagesima, sd2, Sunday, 1710-02-16 00:00:00
Dominica in Sexagesima, sd2, Sunday, 1710-02-23 00:00:00
Dominica in Quinquagesima, sd2, Sunday, 1710-03-02 00:00:00
De die II infra Oct Epiphaniæ, sd, Tuesday, 1710-01-07 00:00:00
De die III infra Oct Epiphaniæ, sd, Wednesday, 1710-01-08 00:00:00
De die IV infra Oct Epiphaniæ, sd, Thursday, 1710-01-09 00:00:00
De die V infra Oct Epiphaniæ, sd, Friday, 1710-01-10 00:00:00
De die VI infra Oct Epiphaniæ, sd, Saturday, 1710-01-11 00:00:00
S Familiæ Jesu Mariæ et Joseph; Dominica I post Epiphaniam, dm, Sunday, 1710-01-12 00:00:00
Dominica II post Epiphaniam, sp, Sunday, 1710-01-19 00:00:00
Dominica III post Epiphaniam, sp, Sunday, 1710-01-26 00:00:00
Dominica IV post Epiphaniam, sp, Sunday, 1710-02-02 00:00:00
Dominica V post Epiphaniam, sp, Sunday, 1710-02-09 00:00:00
Dies Cinerum, sp, Wednesday, 1710-03-05 00:00:00
Feria V post Diem Cinerum, sp, Wednesday, 1710-03-05 00:00:00
Feria VI post Diem Cinerum, sp, Wednesday, 1710-03-05 00:00:00
Sabbato post Diem Cinerum, sp, Wednesday, 1710-03-05 00:00:00
Dominica I in Quadragesima, sd1, Sunday, 1710-03-09 00:00:00
Feria II infra Hebd I in Quadragesima, sp, Monday, 1710-03-10 00:00:00
Feria III infra Hebd I in Quadragesima, sp, Tuesday, 1710-03-11 00:00:00
Feria IV Quattuor Temporum Quadragesimæ, sp, Wednesday, 1710-03-12 00:00:00
Feria V infra Hebd I in Quadragesima, sp, Thursday, 1710-03-13 00:00:00
Feria VI Quattuor Temporum Quadragesimæ, sp, Friday, 1710-03-14 00:00:00
Sabbato Quattuor Temporum Quadragesimæ, sp, Saturday, 1710-03-15 00:00:00
Dominica II in Quadragesima, sd1, Sunday, 1710-03-16 00:00:00
Feria II infra Hebd II in Quadragesima, sp, Monday, 1710-03-17 00:00:00
Feria III infra Hebd II in Quadragesima, sp, Tuesday, 1710-03-18 00:00:00
Feria IV infra Hebd II in Quadragesima, sp, Wednesday, 1710-03-19 00:00:00
Feria V infra Hebd II in Quadragesima, sp, Thursday, 1710-03-20 00:00:00
Feria VI infra Hebd II in Quadragesima, sp, Friday, 1710-03-21 00:00:00
Sabbato infra Hebd II in Quadragesima, sp, Saturday, 1710-03-22 00:00:00
Dominica III in Quadragesima, sd1, Sunday, 1710-03-23 00:00:00
Feria II infra Hebd III in Quadragesima, sp, Monday, 1710-03-24 00:00:00
Feria III infra Hebd III in Quadragesima, sp, Tuesday, 1710-03-25 00:00:00
Feria IV infra Hebd III in Quadragesima, sp, Wednesday, 1710-03-26 00:00:00
Feria V infra Hebd III in Quadragesima, sp, Thursday, 1710-03-27 00:00:00
Feria VI infra Hebd III in Quadragesima, sp, Friday, 1710-03-28 00:00:00
Sabbato infra Hebd III in Quadragesima, sp, Saturday, 1710-03-29 00:00:00
Dominica IV in Quadragesima, sd1, Sunday, 1710-03-30 00:00:00
Feria II infra Hebd IV in Quadragesima, sp, Monday, 1710-03-31 00:00:00
Feria III infra Hebd IV in Quadragesima, sp, Tuesday, 1710-04-01 00:00:00
Feria IV infra Hebd IV in Quadragesima, sp, Wednesday, 1710-04-02 00:00:00
Feria V infra Hebd IV in Quadragesima, sp, Thursday, 1710-04-03 00:00:00
Feria VI infra Hebd IV in Quadragesima, sp, Friday, 1710-04-04 00:00:00
Sabbato infra Hebd IV in Quadragesima, sp, Saturday, 1710-04-05 00:00:00
Dominica de Passione, sd1, Sunday, 1710-04-06 00:00:00
Feria II infra Hebd de Passione, sp, Monday, 1710-04-07 00:00:00
Feria III infra Hebd de Passione, sp, Tuesday, 1710-04-08 00:00:00
Feria IV infra Hebd de Passione, sp, Wednesday, 1710-04-09 00:00:00
Feria V infra Hebd de Passione, sp, Thursday, 1710-04-10 00:00:00
Septem Dolorum BMV, dm, Friday, 1710-04-11 00:00:00
Sabbato infra Hebd de Passione, sp, Saturday, 1710-04-12 00:00:00
Dominica in Palmis, sd1, Sunday, 1710-04-13 00:00:00
Feria II Majoris Hebd; Feria Priv, sp, Monday, 1710-04-14 00:00:00
Feria III Majoris Hebd; Feria Priv, sp, Tuesday, 1710-04-15 00:00:00
Feria IV Majoris Hebd; Feria Priv, sp, Wednesday, 1710-04-16 00:00:00
Feria V in Cœna Domini, d1, Thursday, 1710-04-17 00:00:00
Feria VI in Parasceve, d1, Friday, 1710-04-18 00:00:00
Sabbatum Sanctum, d1, Saturday, 1710-04-19 00:00:00
Dominica Resurrectionis, d1, Sunday, 1710-04-20 00:00:00
Feria II Paschatis, d1, Monday, 1710-04-21 00:00:00
Feria III Paschatis, d1, Tuesday, 1710-04-22 00:00:00
De die IV infra Oct Paschæ, sd, Wednesday, 1710-04-23 00:00:00
De die V infra Oct Paschæ, sd, Thursday, 1710-04-24 00:00:00
De die VI infra Oct Paschæ, sd, Friday, 1710-04-25 00:00:00
Sabbatum in Albis, sd, Saturday, 1710-04-26 00:00:00
Dominica in Albis, sd, Sunday, 1710-04-27 00:00:00
Solemnitas S Joseph, Sponsi BMV C et Ecclesiæ Universalis Patroni, d1, Wednesday, 1710-05-07 00:00:00
Octava Solemnitas S Joseph, dm, Wednesday, 1710-05-14 00:00:00
Dominica II post Pascha, sd, Sunday, 1710-05-04 00:00:00
Dominica III post Pascha, sd, Sunday, 1710-05-11 00:00:00
Dominica IV post Pascha, sd, Sunday, 1710-05-18 00:00:00
Litaniæ Minores, sp, Monday, 1710-05-26 00:00:00
Litaniæ Minores, sp, Tuesday, 1710-05-27 00:00:00
Litaniæ Minores, sp, Wednesday, 1710-05-28 00:00:00
Vigilæ Ascensionis, sp, Wednesday, 1710-05-28 00:00:00
Ascensio DNJC, d1, Thursday, 1710-05-29 00:00:00
Dominica V post Pascha, sd, Sunday, 1710-05-25 00:00:00
De II die infra Oct Ascensionis, sd, Saturday, 1710-05-31 00:00:00
De IV die infra Oct Ascensionis, sd, Monday, 1710-06-02 00:00:00
De V die infra Oct Ascensionis, sd, Tuesday, 1710-06-03 00:00:00
De VI die infra Oct Ascensionis, sd, Wednesday, 1710-06-04 00:00:00
Dominica infra Octavam Ascensionis, sd, Sunday, 1710-06-01 00:00:00
Vigilia Pentecostes, sd, Saturday, 1710-06-07 00:00:00
Dominica Pentecostes, d1, Sunday, 1710-06-08 00:00:00
De II die infra Oct Pentecostes, d1, Saturday, 1710-05-31 00:00:00
De III die infra Oct Pentecostes, d1, Sunday, 1710-06-01 00:00:00
De IV die infra Oct Pentecostes, d1, Monday, 1710-06-02 00:00:00
De V die infra Oct Pentecostes, d1, Tuesday, 1710-06-03 00:00:00
De VI die infra Oct Pentecostes, d1, Wednesday, 1710-06-04 00:00:00
Sabbato die infra Oct Pentecostes, d1, Thursday, 1710-06-05 00:00:00
Feria IV Quattuor infra Temporum Pentecostes, d1, Wednesday, 1710-06-11 00:00:00
Feria VI Quattuor infra Temporum Pentecostes, d1, Friday, 1710-06-13 00:00:00
Sabbato Quattuor infra Temporum Pentecostes, d1, Saturday, 1710-06-14 00:00:00
Dominica Sanctissimæ Trinitatis, d1, Sunday, 1710-06-15 00:00:00
De II die infra Oct Corporis Christi, sd, Friday, 1710-06-20 00:00:00
De III die infra Oct Corporis Christi, sd, Saturday, 1710-06-21 00:00:00
De V die infra Oct Corporis Christi, sd, Monday, 1710-06-23 00:00:00
De VI die infra Oct Corporis Christi, sd, Tuesday, 1710-06-24 00:00:00
De VII die infra Oct Corporis Christi, sd, Wednesday, 1710-06-25 00:00:00
Sanctissimi Corporis Christi, d1, Thursday, 1710-06-19 00:00:00
Octava SSmi Corporis Christi, dm, Thursday, 1710-06-26 00:00:00
Dominica II post Pentecosten infra Octavam Corporis Christi, sd, Sunday, 1710-06-22 00:00:00
De II die infra Oct Ss Cordis Jesu, sd, Saturday, 1710-06-28 00:00:00
De IV die infra Oct Ss Cordis Jesu, sd, Monday, 1710-06-30 00:00:00
De V die infra Oct Ss Cordis Jesu, sd, Tuesday, 1710-07-01 00:00:00
De VI die infra Oct Ss Cordis Jesu, sd, Wednesday, 1710-07-02 00:00:00
De VII die infra Oct Ss Cordis Jesu, sd, Thursday, 1710-07-03 00:00:00
Sacratissimi Cordis Jesu, d1, Friday, 1710-06-27 00:00:00
Sacratissimi Cordis Jesu, dm, Friday, 1710-07-04 00:00:00
Dominica III post Pentecosten infra Octavam SSmi Cordis DNJC, sd, Sunday, 1710-06-29 00:00:00
Dominica V post Pentecosten, sd, Sunday, 1710-07-06 00:00:00
Dominica VI post Pentecosten, sd, Sunday, 1710-07-13 00:00:00
Dominica VII post Pentecosten, sd, Sunday, 1710-07-20 00:00:00
