Feast, Rank, Weekday, Date
Circumcisio Domini et Oct Nativitatis, d2, Thursday, 3587-01-01 00:00:00
Octava S Stephani Protomartyris, sp, Friday, 3587-01-02 00:00:00
Octava S Joannis Ap & Ev, sp, Saturday, 3587-01-03 00:00:00
Octava Ss Innocentium Mm, sp, Sunday, 3587-01-04 00:00:00
SS Nominis Jesu, d2, Sunday, 3587-01-04 00:00:00
Dominica in Septuagesima, sd2, Sunday, 3587-02-08 00:00:00
Dominica in Sexagesima, sd2, Sunday, 3587-02-15 00:00:00
Dominica in Quinquagesima, sd2, Sunday, 3587-02-22 00:00:00
De die II infra Oct Epiphaniæ, sd, Wednesday, 3587-01-07 00:00:00
De die III infra Oct Epiphaniæ, sd, Thursday, 3587-01-08 00:00:00
De die IV infra Oct Epiphaniæ, sd, Friday, 3587-01-09 00:00:00
De die V infra Oct Epiphaniæ, sd, Saturday, 3587-01-10 00:00:00
De die VII infra Oct Epiphaniæ, sd, Monday, 3587-01-12 00:00:00
S Familiæ Jesu Mariæ et Joseph; Dominica I post Epiphaniam, dm, Sunday, 3587-01-11 00:00:00
Dominica II post Epiphaniam, sp, Sunday, 3587-01-18 00:00:00
Dominica III post Epiphaniam, sp, Sunday, 3587-01-25 00:00:00
Dominica IV post Epiphaniam, sp, Sunday, 3587-02-01 00:00:00
Dies Cinerum, sp, Wednesday, 3587-02-25 00:00:00
Feria V post Diem Cinerum, sp, Wednesday, 3587-02-25 00:00:00
Feria VI post Diem Cinerum, sp, Wednesday, 3587-02-25 00:00:00
Sabbato post Diem Cinerum, sp, Wednesday, 3587-02-25 00:00:00
Dominica I in Quadragesima, sd1, Sunday, 3587-03-01 00:00:00
Feria II infra Hebd I in Quadragesima, sp, Monday, 3587-03-02 00:00:00
Feria III infra Hebd I in Quadragesima, sp, Tuesday, 3587-03-03 00:00:00
Feria IV Quattuor Temporum Quadragesimæ, sp, Wednesday, 3587-03-04 00:00:00
Feria V infra Hebd I in Quadragesima, sp, Thursday, 3587-03-05 00:00:00
Feria VI Quattuor Temporum Quadragesimæ, sp, Friday, 3587-03-06 00:00:00
Sabbato Quattuor Temporum Quadragesimæ, sp, Saturday, 3587-03-07 00:00:00
Dominica II in Quadragesima, sd1, Sunday, 3587-03-08 00:00:00
Feria II infra Hebd II in Quadragesima, sp, Monday, 3587-03-09 00:00:00
Feria III infra Hebd II in Quadragesima, sp, Tuesday, 3587-03-10 00:00:00
Feria IV infra Hebd II in Quadragesima, sp, Wednesday, 3587-03-11 00:00:00
Feria V infra Hebd II in Quadragesima, sp, Thursday, 3587-03-12 00:00:00
Feria VI infra Hebd II in Quadragesima, sp, Friday, 3587-03-13 00:00:00
