Feast, Rank, Weekday, Date
Circumcisio Domini et Oct Nativitatis, d2, Monday, 2807-01-01 00:00:00
Octava S Stephani Protomartyris, sp, Tuesday, 2807-01-02 00:00:00
Octava S Joannis Ap & Ev, sp, Wednesday, 2807-01-03 00:00:00
Octava Ss Innocentium Mm, sp, Thursday, 2807-01-04 00:00:00
SS Nominis Jesu, d2, Tuesday, 2807-01-02 00:00:00
Dominica in Septuagesima, sd2, Sunday, 2807-02-11 00:00:00
Dominica in Sexagesima, sd2, Sunday, 2807-02-18 00:00:00
Dominica in Quinquagesima, sd2, Sunday, 2807-02-25 00:00:00
De die III infra Oct Epiphaniæ, sd, Monday, 2807-01-08 00:00:00
De die IV infra Oct Epiphaniæ, sd, Tuesday, 2807-01-09 00:00:00
De die V infra Oct Epiphaniæ, sd, Wednesday, 2807-01-10 00:00:00
De die VI infra Oct Epiphaniæ, sd, Thursday, 2807-01-11 00:00:00
De die VII infra Oct Epiphaniæ, sd, Friday, 2807-01-12 00:00:00
S Familiæ Jesu Mariæ et Joseph; Dominica I post Epiphaniam, dm, Sunday, 2807-01-07 00:00:00
Dominica II post Epiphaniam, sp, Sunday, 2807-01-14 00:00:00
Dominica III post Epiphaniam, sp, Sunday, 2807-01-21 00:00:00
Dominica IV post Epiphaniam, sp, Sunday, 2807-01-28 00:00:00
Dominica V post Epiphaniam, sp, Sunday, 2807-02-04 00:00:00
Dies Cinerum, sp, Wednesday, 2807-02-28 00:00:00
Feria V post Diem Cinerum, sp, Wednesday, 2807-02-28 00:00:00
Feria VI post Diem Cinerum, sp, Wednesday, 2807-02-28 00:00:00
Sabbato post Diem Cinerum, sp, Wednesday, 2807-02-28 00:00:00
Dominica I in Quadragesima, sd1, Sunday, 2807-03-04 00:00:00
Feria II infra Hebd I in Quadragesima, sp, Monday, 2807-03-05 00:00:00
Feria III infra Hebd I in Quadragesima, sp, Tuesday, 2807-03-06 00:00:00
Feria IV Quattuor Temporum Quadragesimæ, sp, Wednesday, 2807-03-07 00:00:00
Feria V infra Hebd I in Quadragesima, sp, Thursday, 2807-03-08 00:00:00
Feria VI Quattuor Temporum Quadragesimæ, sp, Friday, 2807-03-09 00:00:00
Sabbato Quattuor Temporum Quadragesimæ, sp, Saturday, 2807-03-10 00:00:00
Dominica II in Quadragesima, sd1, Sunday, 2807-03-11 00:00:00
Feria II infra Hebd II in Quadragesima, sp, Monday, 2807-03-12 00:00:00
Feria III infra Hebd II in Quadragesima, sp, Tuesday, 2807-03-13 00:00:00
Feria IV infra Hebd II in Quadragesima, sp, Wednesday, 2807-03-14 00:00:00
Feria V infra Hebd II in Quadragesima, sp, Thursday, 2807-03-15 00:00:00
Feria VI infra Hebd II in Quadragesima, sp, Friday, 2807-03-16 00:00:00
Sabbato infra Hebd II in Quadragesima, sp, Saturday, 2807-03-17 00:00:00
Dominica III in Quadragesima, sd1, Sunday, 2807-03-18 00:00:00
Feria II infra Hebd III in Quadragesima, sp, Monday, 2807-03-19 00:00:00
Feria III infra Hebd III in Quadragesima, sp, Tuesday, 2807-03-20 00:00:00
Feria IV infra Hebd III in Quadragesima, sp, Wednesday, 2807-03-21 00:00:00
Feria V infra Hebd III in Quadragesima, sp, Thursday, 2807-03-22 00:00:00
Feria VI infra Hebd III in Quadragesima, sp, Friday, 2807-03-23 00:00:00
Sabbato infra Hebd III in Quadragesima, sp, Saturday, 2807-03-24 00:00:00
Dominica IV in Quadragesima, sd1, Sunday, 2807-03-25 00:00:00
Feria II infra Hebd IV in Quadragesima, sp, Monday, 2807-03-26 00:00:00
Feria III infra Hebd IV in Quadragesima, sp, Tuesday, 2807-03-27 00:00:00
Feria IV infra Hebd IV in Quadragesima, sp, Wednesday, 2807-03-28 00:00:00
Feria V infra Hebd IV in Quadragesima, sp, Thursday, 2807-03-29 00:00:00
Feria VI infra Hebd IV in Quadragesima, sp, Friday, 2807-03-30 00:00:00
Sabbato infra Hebd IV in Quadragesima, sp, Saturday, 2807-03-31 00:00:00
Dominica de Passione, sd1, Sunday, 2807-04-01 00:00:00
Feria II infra Hebd de Passione, sp, Monday, 2807-04-02 00:00:00
Feria III infra Hebd de Passione, sp, Tuesday, 2807-04-03 00:00:00
Feria IV infra Hebd de Passione, sp, Wednesday, 2807-04-04 00:00:00
Feria V infra Hebd de Passione, sp, Thursday, 2807-04-05 00:00:00
Septem Dolorum BMV, dm, Friday, 2807-04-06 00:00:00
Sabbato infra Hebd de Passione, sp, Saturday, 2807-04-07 00:00:00
Dominica in Palmis, sd1, Sunday, 2807-04-08 00:00:00
Feria II Majoris Hebd; Feria Priv, sp, Monday, 2807-04-09 00:00:00
Feria III Majoris Hebd; Feria Priv, sp, Tuesday, 2807-04-10 00:00:00
Feria IV Majoris Hebd; Feria Priv, sp, Wednesday, 2807-04-11 00:00:00
Feria V in Cœna Domini, d1, Thursday, 2807-04-12 00:00:00
