Feast, Rank, Weekday, Date
Feria VI in Parasceve, d1, Friday, 2807-04-13 00:00:00
Sabbatum Sanctum, d1, Saturday, 2807-04-14 00:00:00
Dominica Resurrectionis, d1, Sunday, 2807-04-15 00:00:00
Feria II Paschatis, d1, Monday, 2807-04-16 00:00:00
Feria III Paschatis, d1, Tuesday, 2807-04-17 00:00:00
De die IV infra Oct Paschæ, sd, Wednesday, 2807-04-18 00:00:00
De die V infra Oct Paschæ, sd, Thursday, 2807-04-19 00:00:00
De die VI infra Oct Paschæ, sd, Friday, 2807-04-20 00:00:00
Sabbatum in Albis, sd, Saturday, 2807-04-21 00:00:00
Dominica in Albis, sd, Sunday, 2807-04-22 00:00:00
Solemnitas S Joseph, Sponsi BMV C et Ecclesiæ Universalis Patroni, d1, Wednesday, 2807-05-02 00:00:00
Octava Solemnitas S Joseph, dm, Wednesday, 2807-05-09 00:00:00
Dominica II post Pascha, sd, Sunday, 2807-04-29 00:00:00
Dominica III post Pascha, sd, Sunday, 2807-05-06 00:00:00
Dominica IV post Pascha, sd, Sunday, 2807-05-13 00:00:00
Litaniæ Minores, sp, Monday, 2807-05-21 00:00:00
Litaniæ Minores, sp, Tuesday, 2807-05-22 00:00:00
Litaniæ Minores, sp, Wednesday, 2807-05-23 00:00:00
Vigilæ Ascensionis, sp, Wednesday, 2807-05-23 00:00:00
Ascensio DNJC, d1, Thursday, 2807-05-24 00:00:00
Dominica V post Pascha, sd, Sunday, 2807-05-20 00:00:00
De II die infra Oct Ascensionis, sd, Saturday, 2807-05-26 00:00:00
De IV die infra Oct Ascensionis, sd, Monday, 2807-05-28 00:00:00
De V die infra Oct Ascensionis, sd, Tuesday, 2807-05-29 00:00:00
De VI die infra Oct Ascensionis, sd, Wednesday, 2807-05-30 00:00:00
Dominica infra Octavam Ascensionis, sd, Sunday, 2807-05-27 00:00:00
Vigilia Pentecostes, sd, Saturday, 2807-06-02 00:00:00
Dominica Pentecostes, d1, Sunday, 2807-06-03 00:00:00
De II die infra Oct Pentecostes, d1, Saturday, 2807-05-26 00:00:00
De III die infra Oct Pentecostes, d1, Sunday, 2807-05-27 00:00:00
De IV die infra Oct Pentecostes, d1, Monday, 2807-05-28 00:00:00
De V die infra Oct Pentecostes, d1, Tuesday, 2807-05-29 00:00:00
De VI die infra Oct Pentecostes, d1, Wednesday, 2807-05-30 00:00:00
Sabbato die infra Oct Pentecostes, d1, Thursday, 2807-05-31 00:00:00
Feria IV Quattuor infra Temporum Pentecostes, d1, Wednesday, 2807-06-06 00:00:00
Feria VI Quattuor infra Temporum Pentecostes, d1, Friday, 2807-06-08 00:00:00
Sabbato Quattuor infra Temporum Pentecostes, d1, Saturday, 2807-06-09 00:00:00
Dominica Sanctissimæ Trinitatis, d1, Sunday, 2807-06-10 00:00:00
De II die infra Oct Corporis Christi, sd, Friday, 2807-06-15 00:00:00
De III die infra Oct Corporis Christi, sd, Saturday, 2807-06-16 00:00:00
De V die infra Oct Corporis Christi, sd, Monday, 2807-06-18 00:00:00
De VI die infra Oct Corporis Christi, sd, Tuesday, 2807-06-19 00:00:00
De VII die infra Oct Corporis Christi, sd, Wednesday, 2807-06-20 00:00:00
Sanctissimi Corporis Christi, d1, Thursday, 2807-06-14 00:00:00
Octava SSmi Corporis Christi, dm, Thursday, 2807-06-21 00:00:00
Dominica II post Pentecosten infra Octavam Corporis Christi, sd, Sunday, 2807-06-17 00:00:00
De II die infra Oct Ss Cordis Jesu, sd, Saturday, 2807-06-23 00:00:00
De IV die infra Oct Ss Cordis Jesu, sd, Monday, 2807-06-25 00:00:00
De V die infra Oct Ss Cordis Jesu, sd, Tuesday, 2807-06-26 00:00:00
De VI die infra Oct Ss Cordis Jesu, sd, Wednesday, 2807-06-27 00:00:00
De VII die infra Oct Ss Cordis Jesu, sd, Thursday, 2807-06-28 00:00:00
Sacratissimi Cordis Jesu, d1, Friday, 2807-06-22 00:00:00
Sacratissimi Cordis Jesu, dm, Friday, 2807-06-29 00:00:00
Dominica III post Pentecosten infra Octavam SSmi Cordis DNJC, sd, Sunday, 2807-06-24 00:00:00
Dominica V post Pentecosten, sd, Sunday, 2807-07-01 00:00:00
Dominica VI post Pentecosten, sd, Sunday, 2807-07-08 00:00:00
Dominica VII post Pentecosten, sd, Sunday, 2807-07-15 00:00:00
Dominica VIII post Pentecosten, sd, Sunday, 2807-07-22 00:00:00
Dominica IX post Pentecosten, sd, Sunday, 2807-07-29 00:00:00
Dominica X post Pentecosten, sd, Sunday, 2807-08-05 00:00:00
Dominica XI post Pentecosten, sd, Sunday, 2807-08-12 00:00:00
Dominica XII post Pentecosten, sd, Sunday, 2807-08-19 00:00:00
Dominica XIII post Pentecosten, sd, Sunday, 2807-08-26 00:00:00
Dominica XIV post Pentecosten, sd, Sunday, 2807-09-02 00:00:00
Dominica XV post Pentecosten, sd, Sunday, 2807-09-09 00:00:00
Dominica XVI post Pentecosten, sd, Sunday, 2807-09-16 00:00:00
Feria IV Quattuor Temporum Septembris, sd, Wednesday, 2807-09-19 00:00:00
Feria VI Quattuor Temporum Septembris, sd, Friday, 2807-09-21 00:00:00
Sabbato Quattuor Temporum Septembris, sd, Saturday, 2807-09-22 00:00:00
Dominica XVII post Pentecosten, sd, Sunday, 2807-09-23 00:00:00
Dominica XVIII post Pentecosten, sd, Sunday, 2807-09-30 00:00:00
Dominica XIX post Pentecosten, sd, Sunday, 2807-10-07 00:00:00
Dominica XX post Pentecosten, sd, Sunday, 2807-10-14 00:00:00
Dominica XXI post Pentecosten, sd, Sunday, 2807-10-21 00:00:00
Dominica XXII post Pentecosten, sd, Sunday, 2807-10-28 00:00:00
Dominica XXIII post Pentecosten, sd, Sunday, 2807-11-04 00:00:00
Dominica XXIV post Pentecosten, sd, Sunday, 2807-11-11 00:00:00
Dominica XXV post Pentecosten, sd, Sunday, 2807-11-18 00:00:00
Dominica XXVI post Pentecosten, sd, Sunday, 2807-11-25 00:00:00
Dominica XXVII post Pentecosten, sd, Sunday, 2807-12-02 00:00:00
Dominica IV Adventus, sd2, Sunday, 2807-12-23 00:00:00
Dominica III Adventus, sd2, Sunday, 2807-12-16 00:00:00
Feria IV Quattuor Temporum in Adventu, sp, Wednesday, 2807-12-19 00:00:00
Feria VI Quattuor Temporum in Adventu, sp, Friday, 2807-12-21 00:00:00
Sabbato Quattuor Temporum in Adventu, sp, Saturday, 2807-12-22 00:00:00
Dominica II Adventus, sd2, Sunday, 2807-12-09 00:00:00
Dominica I Adventus, sd2, Sunday, 2807-12-02 00:00:00
Nativitas DNJC, d1, Tuesday, 2807-12-25 00:00:00
Dominica Infra Octavam Nativitatis, sd, Sunday, 2807-12-30 00:00:00
De VI Die infra Octavam Nativitatis, sd, Sunday, 2807-12-30 00:00:00
S Stephani Protomartyris, d2, Wednesday, 2807-12-26 00:00:00
S Joannis Ap & Ev, d2, Thursday, 2807-12-27 00:00:00
Ss Innocentium Mm, d2, Friday, 2807-12-28 00:00:00
S Thomas EM, d, Saturday, 2807-12-29 00:00:00
S Sylvestri I PC, d, Monday, 2807-12-31 00:00:00
