Feast, Rank, Weekday, Date
Circumcisio Domini et Oct Nativitatis, d2, Friday, 1875-01-01 00:00:00
Octava S Stephani Protomartyris, sp, Saturday, 1875-01-02 00:00:00
Octava S Joannis Ap & Ev, sp, Sunday, 1875-01-03 00:00:00
Octava Ss Innocentium Mm, sp, Monday, 1875-01-04 00:00:00
SS Nominis Jesu, d2, Sunday, 1875-01-03 00:00:00
Dominica in Septuagesima, sd2, Sunday, 1875-01-24 00:00:00
Dominica in Sexagesima, sd2, Sunday, 1875-01-31 00:00:00
Dominica in Quinquagesima, sd2, Sunday, 1875-02-07 00:00:00
De die II infra Oct Epiphaniæ, sd, Thursday, 1875-01-07 00:00:00
De die III infra Oct Epiphaniæ, sd, Friday, 1875-01-08 00:00:00
De die IV infra Oct Epiphaniæ, sd, Saturday, 1875-01-09 00:00:00
De die VI infra Oct Epiphaniæ, sd, Monday, 1875-01-11 00:00:00
De die VII infra Oct Epiphaniæ, sd, Tuesday, 1875-01-12 00:00:00
S Familiæ Jesu Mariæ et Joseph; Dominica I post Epiphaniam, dm, Sunday, 1875-01-10 00:00:00
Dominica II post Epiphaniam, sp, Sunday, 1875-01-17 00:00:00
Dies Cinerum, sp, Wednesday, 1875-02-10 00:00:00
Feria V post Diem Cinerum, sp, Wednesday, 1875-02-10 00:00:00
Feria VI post Diem Cinerum, sp, Wednesday, 1875-02-10 00:00:00
Sabbato post Diem Cinerum, sp, Wednesday, 1875-02-10 00:00:00
Dominica I in Quadragesima, sd1, Sunday, 1875-02-14 00:00:00
Feria II infra Hebd I in Quadragesima, sp, Monday, 1875-02-15 00:00:00
Feria III infra Hebd I in Quadragesima, sp, Tuesday, 1875-02-16 00:00:00
Feria IV Quattuor Temporum Quadragesimæ, sp, Wednesday, 1875-02-17 00:00:00
Feria V infra Hebd I in Quadragesima, sp, Thursday, 1875-02-18 00:00:00
Feria VI Quattuor Temporum Quadragesimæ, sp, Friday, 1875-02-19 00:00:00
Sabbato Quattuor Temporum Quadragesimæ, sp, Saturday, 1875-02-20 00:00:00
Dominica II in Quadragesima, sd1, Sunday, 1875-02-21 00:00:00
Feria II infra Hebd II in Quadragesima, sp, Monday, 1875-02-22 00:00:00
Feria III infra Hebd II in Quadragesima, sp, Tuesday, 1875-02-23 00:00:00
Feria IV infra Hebd II in Quadragesima, sp, Wednesday, 1875-02-24 00:00:00
